,clonesize,bumbles,andrena,osmia,MaxOfUpperTRange,MinOfUpperTRange,MaxOfLowerTRange,MinOfLowerTRange,honeybeeBC,AverageOfUpperTRangeSC,AverageOfLowerTRangeSC,RainingDaysSC,AverageRainingDaysSC,fruitsetSC,fruitmassSC,seedsSC
19,37.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,-1.0692387385324391,-0.6306905743810871,-0.738071815586074
20,37.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,-0.6874487580853371,-0.3267789909470244,-0.39834546737134396
21,37.5,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,-1.5203760909294777,-1.4773251159765832,-1.3201675999539426
22,37.5,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-1.4502174544134907,-1.3263076861137337,-1.5617253492094771,-1.6916833940244054,-1.5716148650812594
23,37.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,0.4575222087699391,0.3941371163350113,-1.626268101449598,-1.1571150647913937,-1.2661062696508063
24,37.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,1.2869742362409955,1.4026737246670344,-2.1381305572433997,-1.5818882160762435,-1.7147548367081578
25,25.0,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,-0.9783588762927822,-0.6605191292969951,-0.7821829380647161
26,25.0,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,-0.590011324813237,-0.33768768332394117,-0.45629355544482947
27,25.0,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,-1.376142565625882,-0.9937651435078441,-1.131948772239361
28,25.0,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,-1.0855384485622435,-0.7990188362086839,-0.9401760844345111
29,25.0,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,-1.7329049334846525,-1.3479842232315817,-1.4809381827506702
30,25.0,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-2.4862269191426205,-1.9842674826731488,-2.04615142203662
31,25.0,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,0.4575222087699391,0.3941371163350113,-2.5520783920733168,-2.0996426344692085,-2.1601141733861153
33,25.0,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,-0.7806103175189956,-0.545192232525785,-0.6680170394108608
34,25.0,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,-0.046196443850888336,0.1670429207096097,0.06202347610652957
35,25.0,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,-1.3217332320951478,-1.6123238646642697,-1.402660867154227
36,25.0,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-1.4502174544134907,-1.3263076861137337,-0.7253052108368724,-0.8401500399279785,-0.736155279943217
37,25.0,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,0.4575222087699391,0.3941371163350113,-1.0714279524048167,-0.7299899055953502,-0.8465307353061127
38,25.0,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,1.2869742362409955,1.4026737246670344,-1.5089332149840935,-1.1321109411875996,-1.2615863856046394
39,25.0,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,1.2869742362409955,1.4026737246670344,-2.263852901581312,-2.3332512971563784,-2.107114294138356
40,25.0,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,-0.8390098390062969,-0.5718599396202231,-0.7036895020554281
41,25.0,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,-0.2525189002311772,-0.04206666324942604,-0.1547059277271182
42,25.0,0.25,0.25,0.38,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,-1.1658325326773444,-0.85163907278511,-0.9816245005101277
43,25.0,0.25,0.25,0.38,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,-0.5328807505636856,-0.22372182906462862,-0.3157199058121699
44,25.0,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,-1.5280811997305332,-1.22090353105759,-1.3680691343758808
45,25.0,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-2.076769587487327,-1.5543988149988566,-1.6223713032318399
46,25.0,0.25,0.25,0.38,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,0.4575222087699391,0.3941371163350113,-2.2838459985457917,-1.8183908216937903,-1.9064196837402045
48,25.0,0.25,0.25,0.38,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,-0.588824241251291,-0.31011862357261566,-0.41409329950532014
49,25.0,0.25,0.25,0.38,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,0.12990758937851327,0.305438567110214,0.22675483573272529
50,25.0,0.25,0.25,0.38,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,-1.0308789440307449,-1.3887904697234459,-1.1864018711278856
51,12.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,0.21264796850199405,0.23012788775864718,0.11876604410241479
52,12.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,0.7484805317496418,0.7362332244140146,0.6600007228598486
53,12.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,-0.20228626134977884,-0.15506950710488931,-0.2953625570269149
54,12.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,0.17014355255618974,0.21742315223977027,0.11720003075858007
55,12.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,-0.5235785300597172,-0.4879445559135609,-0.6486457722611283
56,12.5,0.25,0.25,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-1.5329890831086157,-1.2552328402402186,-1.3739071754644177
57,12.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,0.4575222087699391,0.3941371163350113,-1.7417483129737297,-1.5105627695239838,-1.6184975209813355
58,12.5,0.25,0.25,0.25,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,1.2869742362409955,1.4026737246670344,-2.4419016825614186,-2.028460672809459,-2.1503066142937137
59,12.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,0.42926799947879263,0.4418703097653662,0.3515235088587543
60,12.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,0.9857042022794246,0.994703518606701,0.9417737431191714
61,12.5,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,-0.0974671564593463,-0.6295651114896851,-0.3790273899664022
62,12.5,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-1.4502174544134907,-1.3263076861137337,0.07244029334515995,-0.4144299980824468,-0.18995142559829564
63,12.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,0.4575222087699391,0.3941371163350113,-0.13250747465814708,-0.07551447565978382,-0.21532494252459863
64,12.5,0.25,0.25,0.25,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,1.2869742362409955,1.4026737246670344,-0.3330086108105541,-0.2965651012387557,-0.4420680235486246
65,12.5,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,0.4575222087699391,0.3941371163350113,-0.310182813717195,-0.785683336713135,-0.6058046230602199
66,12.5,0.25,0.25,0.25,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,1.2869742362409955,1.4026737246670344,-1.3314960479312863,-1.7467757927401124,-1.5196696923192798
67,12.5,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,0.6167949549684909,0.6145360634610475,0.5346781389945909
68,12.5,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,1.0844299472380243,1.1676234537516246,1.1516787252203124
69,12.5,0.25,0.25,0.38,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,0.09014637659685873,0.10489781628314522,-0.011632852006465763
70,12.5,0.25,0.25,0.38,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,0.5580691304671853,0.6149223910476386,0.5660694637822152
71,12.5,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,-0.21758721578636162,-0.2417464524691034,-0.3998996433565261
72,12.5,0.25,0.25,0.38,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-1.2025759581612552,-1.010828506961455,-1.153178446825047
73,12.5,0.25,0.25,0.38,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,0.4575222087699391,0.3941371163350113,-1.4290183714112892,-1.2509428196120638,-1.3486066937629841
74,12.5,0.25,0.25,0.38,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,1.2869742362409955,1.4026737246670344,-2.0912917321856503,-1.7751021977325343,-1.915077830243525
75,12.5,0.25,0.25,0.38,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,0.8290074713522045,0.847847880673217,0.7913558938023929
76,12.5,0.25,0.25,0.38,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,1.251926898141694,1.2294105513532372,1.1792638388440457
77,12.5,0.25,0.25,0.38,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,0.1560137990838914,-0.40987983923966526,-0.20725745104063745
78,12.5,0.25,0.25,0.38,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-1.4502174544134907,-1.3263076861137337,0.4616041915960527,0.024787969620021822,0.27366279160570667
79,12.5,0.25,0.25,0.38,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,0.4575222087699391,0.3941371163350113,0.23895025999063793,0.3197999626862834,0.23432890299293266
80,12.5,0.25,0.25,0.38,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,1.2869742362409955,1.4026737246670344,0.030406744192239366,0.04946901708019154,-0.09345903376981686
81,12.5,0.25,0.25,0.38,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,0.4575222087699391,0.3941371163350113,-0.18740882053126537,-0.6812947855149432,-0.46398251187860085
82,12.5,0.25,0.25,0.38,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,1.2869742362409955,1.4026737246670344,-1.041203087829413,-1.5292973714342823,-1.318472959927427
83,12.5,0.25,0.25,0.5,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,0.9309710699891238,0.9077841746931944,0.8372455715817675
84,12.5,0.25,0.25,0.5,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,1.2572910245380855,1.3007736979601023,1.2923871239747693
85,12.5,0.25,0.25,0.5,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,0.6083597555609549,0.5944539785179515,0.5121841337099567
86,12.5,0.25,0.25,0.5,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,0.9020271114707865,0.9122989064576356,0.8608273117289327
87,12.5,0.25,0.25,0.5,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,0.022463704436171416,0.06294933390261336,-0.04673007303491574
88,12.5,0.25,0.25,0.5,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-0.9387875717045773,-0.7421999160733352,-0.8545954272029096
89,12.5,0.25,0.25,0.5,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,0.4575222087699391,0.3941371163350113,-1.0588265574681528,-0.9545888300074352,-1.0814105813197818
90,12.5,0.25,0.25,0.5,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,1.2869742362409955,1.4026737246670344,-1.827541686266159,-1.5571993307668834,-1.6985206359852645
91,12.5,0.25,0.25,0.5,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,0.89108473822775,0.9573457428754275,0.922918767105419
92,12.5,0.25,0.25,0.5,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,1.4364250449357776,1.4611886582358469,1.4583479315885104
93,12.5,0.25,0.25,0.5,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,0.3137550183792177,-0.1536108311182444,0.1073533449638944
94,12.5,0.25,0.25,0.5,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-1.4502174544134907,-1.3263076861137337,0.4890547038317928,-0.07173746838729875,0.2120912636937492
95,12.5,0.25,0.25,0.5,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,0.4575222087699391,0.3941371163350113,0.5225894562278596,0.5320532034509001,0.4300038029644657
96,12.5,0.25,0.25,0.5,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,1.2869742362409955,1.4026737246670344,0.3299440591113233,0.33095596533131894,0.2149501220502561
97,12.5,0.25,0.25,0.5,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,0.4575222087699391,0.3941371163350113,0.04672393043616555,-0.4899295957256641,-0.2364055662214933
98,12.5,0.25,0.25,0.5,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,1.2869742362409955,1.4026737246670344,-0.8406510764758981,-1.264628070064648,-1.0731796407256977
99,12.5,0.25,0.25,0.63,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,1.1945711820440161,1.208846621568085,1.1805892058481933
100,12.5,0.25,0.25,0.63,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,1.609813944077503,1.7906453336248187,1.8362606921477729
101,12.5,0.25,0.25,0.63,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,0.883523202217186,0.8960038873601519,0.8432014991624267
102,12.5,0.25,0.25,0.63,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,1.1284704487505326,1.1862698537323668,1.161451558339611
103,12.5,0.25,0.25,0.63,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,0.46746493709165376,0.4787638496890973,0.3875123996051583
104,12.5,0.25,0.25,0.63,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-0.5156096040799747,-0.4185064373201656,-0.5269324012194626
105,12.5,0.25,0.25,0.63,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,0.4575222087699391,0.3941371163350113,-0.8350983542760828,-0.7324407487848345,-0.8370869296365748
106,12.5,0.25,0.25,0.63,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,1.2869742362409955,1.4026737246670344,-1.4569231179050934,-1.2870960485536054,-1.43947420135623
107,12.5,0.25,0.25,0.63,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,1.2036073891247638,1.2247388797218426,1.205088786186619
108,12.5,0.25,0.25,0.63,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,1.560828678348835,1.701649429946831,1.7338459943095654
109,12.5,0.25,0.25,0.63,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,0.5365345644585461,0.12731231451446057,0.3883271928042214
110,12.5,0.25,0.25,0.63,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-1.4502174544134907,-1.3263076861137337,0.4733145540555037,-0.03176893121689543,0.28106676646324774
111,12.5,0.25,0.25,0.63,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,0.4575222087699391,0.3941371163350113,0.6628534302384602,0.6411853516098901,0.5535128475405319
112,12.5,0.25,0.25,0.63,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,1.2869742362409955,1.4026737246670344,0.5712020701478306,0.5811713845044363,0.4867864019220529
113,12.5,0.25,0.25,0.63,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,0.4575222087699391,0.3941371163350113,0.356661829177061,-0.012578741259328249,0.15292723606278116
114,12.5,0.25,0.25,0.63,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,1.2869742362409955,1.4026737246670344,-0.7664061729590024,-1.31966670113491,-1.1060544935185026
115,12.5,0.25,0.25,0.75,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,1.4148978845565707,1.5125963534163651,1.5256130939765964
116,12.5,0.25,0.25,0.75,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-1.4502174544134907,-1.3263076861137337,1.6543483863422292,1.9219311886463977,2.016329805877809
117,12.5,0.25,0.25,0.75,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-0.20603941320690605,-0.37709676062477093,1.0233886783706205,1.0446180512641379,1.0163077116666315
118,12.5,0.25,0.25,0.75,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,-1.4502174544134907,-1.3263076861137337,1.386602956473008,1.473467380525067,1.4812122805386634
119,12.5,0.25,0.25,0.75,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,0.4575222087699391,0.3941371163350113,0.7100706521592031,0.7421758032916206,0.670377143113897
120,12.5,0.25,0.25,0.75,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,1.2869742362409955,1.4026737246670344,-0.4273155519434975,-0.3354790296744378,-0.44701309760835944
121,12.5,0.25,0.25,0.75,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,0.4575222087699391,0.3941371163350113,-0.7616671459670143,-0.6586436364904096,-0.7541247786075266
122,12.5,0.25,0.25,0.75,94.6,57.2,68.2,33.0,0.17108348999637246,1.3489227002899185,1.3549808659013436,1.2869742362409955,1.4026737246670344,-1.2652482064292812,-1.1378693306092313,-1.2913377816777236
123,12.5,0.25,0.25,0.75,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-0.20603941320690605,-0.37709676062477093,1.3569168280032593,1.3907102219194212,1.3780281471539213
124,12.5,0.25,0.25,0.75,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,-1.4502174544134907,-1.3263076861137337,1.7268210008712181,1.917492719154578,1.9777378464456803
125,12.5,0.25,0.25,0.75,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-0.20603941320690605,-0.37709676062477093,0.537058167903697,0.08930101891769893,0.34907252937347033
126,12.5,0.25,0.25,0.75,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,-1.4502174544134907,-1.3263076861137337,0.5855360207947791,0.14186079955070222,0.46914813227777163
127,12.5,0.25,0.25,0.75,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,0.4575222087699391,0.3941371163350113,1.0620508046807429,1.0554696840989486,1.0131695094899615
128,12.5,0.25,0.25,0.75,77.4,46.8,55.8,27.0,0.17108348999637246,-0.5018466771853194,-0.4979810845296749,1.2869742362409955,1.4026737246670344,0.9229342211296707,0.9659178679040541,0.919112334096549
129,12.5,0.25,0.25,0.75,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,0.4575222087699391,0.3941371163350113,0.31613956409770216,-0.20455972473332718,0.07514287447519634
130,12.5,0.25,0.25,0.75,69.7,42.1,50.2,24.3,0.17108348999637246,-1.3431054851286093,-1.3419043490824147,1.2869742362409955,1.4026737246670344,-0.5123522118603498,-0.9313872549604294,-0.7566476358656228
131,12.5,0.25,0.38,0.25,86.0,52.0,62.0,30.0,0.17108348999637246,0.4300092331518638,0.41932681172330444,-0.20603941320690605,-0.37709676062477093,0.2751135689078711,0.2645592457377322,0.16202139234505572
